pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,enf_p1k_mean,oblig_ratio,total_words_norm,n_articles_norm,hard_p1k_mean_norm,enf_p1k_mean_norm,CCI_pilot
11,EU - Albania,2006,17284.0,137.0,20.0,23.200647998148575,6.017125665355242,3.41356167553807,2.635394694790668,0.11449520976723272,0.2682445759368836,0.7207009803680196,0.11069902154663373,0.3035349469046924
12,Turkey - Syria,2004,6086.0,51.0,7.0,21.031876437725927,9.85869208018403,4.600722970752547,1.394429838974696,0.037035243662020545,0.09861932938856016,0.6533306297676564,0.1491976942789968,0.23454572427430848
13,EFTA - Lebanon,2004,5699.0,43.0,11.0,21.407264432356556,9.650815932619757,10.52816283558519,1.4949757267356847,0.034358247155258884,0.08284023668639054,0.6649916185370334,0.3414197355608657,0.2809024594848871
14,Pan-Arab Free Trade Area (PAFTA),1997,2622.0,27.0,8.0,22.120518688024408,8.009153318077804,4.195270785659802,1.5183066361556063,0.013073703870231383,0.05128205128205128,0.6871480273301198,0.1360492105426844,0.2218882482562717
15,Gulf Cooperation Council (GCC),2001,2841.0,35.0,11.0,21.823301654347063,4.575853572685674,2.4639211545230553,1.3526927138331573,0.014588593366305812,0.06706114398422092,0.6779153279861002,0.07990295383509102,0.2098670047929295
16,EU - Algeria,2002,13456.0,109.0,17.0,20.882877526753866,5.945303210463734,2.749702734839477,2.230374306381292,0.0880157714522879,0.21301775147928995,0.648702152958737,0.08917061744397893,0.25972657333357346
17,US - Bahrain,2005,48180.0,195.0,23.0,15.400581154005812,8.821087588210876,7.762557077625571,1.953458253649494,0.3282122228755231,0.3826429980276134,0.4784010315925209,0.251733396045231,0.3602474121352221
19,"EFTA - Korea, Republic of",2005,11163.0,90.0,12.0,23.55997491713697,6.9873689868314965,20.872525306817163,2.7057157771011573,0.07215439421713415,0.1755424063116371,0.7318630506174462,0.676878975185882,0.4141097065830248
20,Japan - Malaysia,2005,27982.0,161.0,16.0,17.368308198127366,9.470373811736117,10.256593524408549,1.6517596215044574,0.1884965240549234,0.3155818540433925,0.53952616955885,0.33261296425077685,0.34405437797698574
21,Jordan - Singapore,2004,11861.0,73.0,10.0,18.12663350476351,7.840822864851193,7.250653401905404,1.8135387685130537,0.07698267215439421,0.14201183431952663,0.5630826578075473,0.23513277727380788,0.254302485388819
23,Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR),2004,76892.0,279.0,24.0,15.606304947198668,9.311761951828538,11.015450241897726,1.6769262318982263,0.5268218448448795,0.5483234714003945,0.4847916004874479,0.35722206878875207,0.4792897463803685
24,"Korea, Republic of - Singapore",2005,39653.0,215.0,24.0,16.669608856833026,7.666506947771921,9.028320681915618,1.8121676375894216,0.26922837477951095,0.42209072978303747,0.5178218921484301,0.29278107756461125,0.3754805185688974
25,Turkey - Morocco,2004,4459.0,39.0,6.0,23.996411751513794,9.419152276295133,9.194886745907153,1.5499150994777817,0.025780790647805484,0.07495069033530573,0.7454204501534071,0.2981826791934526,0.28608365258249274
26,US - Morocco,2004,58828.0,229.0,24.0,15.264839872169714,8.99231658393962,11.04916026381995,1.7458005380917807,0.4018676719814616,0.44970414201183434,0.4741843875184634,0.3583152573108307,0.4210178647056475
27,Thailand - New Zealand,2005,23023.0,152.0,20.0,18.372931416409678,8.46979107848673,12.856708508882422,1.8401002564882163,0.15419361532874484,0.2978303747534517,0.5707336142118751,0.41693257293182656,0.3599225443064745
29,EU - Chile,2002,32604.0,204.0,26.0,16.593056066740278,8.097165991902834,8.31186357502147,1.743500067184278,0.22046830145609242,0.40039447731755423,0.5154438693072512,0.26954695782344307,0.35146340147608524
30,Turkey - Palestinian Authority,2004,5627.0,54.0,7.0,18.660031988626265,10.662875422072153,3.9097209880931225,1.0090190154611693,0.033860201293535785,0.10453648915187377,0.5796520575190286,0.12678906345936325,0.21120945285595036
31,Turkey - Tunisia,2004,5196.0,54.0,8.0,20.977675134719014,8.468052347959969,5.003849114703618,1.3482486528098536,0.030878843426832222,0.10453648915187377,0.6516469297168034,0.1622707463978564,0.23733325217334145
